ID,Type,UGS,"GTIN, UPC, EAN ou ISBN",Nom,Publié,"Mis en avant ?","Visibilité dans le catalogue","Description courte",Description,"Date de début de promo","Date de fin de promo","État de la TVA","Classe de TVA","En stock ?",Stock,"Montant de stock faible","Autoriser les commandes de produits en rupture ?","Vendre individuellement ?","Poids (kg)","Longueur (cm)","Largeur (cm)","Hauteur (cm)","Autoriser les avis clients ?","Note de commande","Tarif promo","Tarif régulier",Catégories,Étiquettes,"Classe d’expédition",Images,"Limite de téléchargement","Jours d’expiration du téléchargement",Parent,"Groupes de produits","Produits suggérés","Ventes croisées","URL externe","Libellé du bouton",Position,Marques,"Nom de l’attribut 1","Valeur(s) de l’attribut 1 ","Attribut 1 visible","Attribut 1 global","Nom de l’attribut 2","Valeur(s) de l’attribut 2 ","Attribut 2 visible","Attribut 2 global"
42,variable,,,"Matelas Inayya First",1,0,visible,"Le matelas à mémoire de forme Inayya First, c'est l'alliance parfaite entre le latex haute densité et la mousse gel à mémoire de forme. Il vous offre un accueil inégalé.","[et_pb_section fb_built=""1"" _builder_version=""4.16"" custom_padding=""0px||||false|false"" global_colors_info=""{}""][et_pb_row _builder_version=""4.19.1"" background_size=""initial"" background_position=""top_left"" background_repeat=""repeat"" width=""100%"" custom_padding=""0px||0px||false|false"" hover_enabled=""0"" global_colors_info=""{}"" sticky_enabled=""0""][et_pb_column type=""4_4"" _builder_version=""4.16"" custom_padding=""|||"" global_colors_info=""{}"" custom_padding__hover=""|||""][et_pb_wc_breadcrumb _builder_version=""4.16"" global_colors_info=""{}""][/et_pb_wc_breadcrumb][et_pb_wc_cart_notice _builder_version=""4.16"" global_colors_info=""{}""][/et_pb_wc_cart_notice][/et_pb_column][/et_pb_row][et_pb_row column_structure=""1_2,1_2"" _builder_version=""4.16"" background_size=""initial"" background_position=""top_left"" background_repeat=""repeat"" width=""100%"" custom_padding=""0px||||false|false"" global_colors_info=""{}""][et_pb_column type=""1_2"" _builder_version=""4.16"" custom_padding=""|||"" global_colors_info=""{}"" custom_padding__hover=""|||""][et_pb_wc_images _builder_version=""4.16"" global_colors_info=""{}""][/et_pb_wc_images][/et_pb_column][et_pb_column type=""1_2"" _builder_version=""4.16"" custom_padding=""|||"" global_colors_info=""{}"" custom_padding__hover=""|||""][et_pb_wc_title _builder_version=""4.16"" global_colors_info=""{}""][/et_pb_wc_title][et_pb_wc_rating _builder_version=""4.16"" global_colors_info=""{}""][/et_pb_wc_rating][et_pb_wc_price _builder_version=""4.16"" global_colors_info=""{}""][/et_pb_wc_price][et_pb_wc_description _builder_version=""4.16"" global_colors_info=""{}""][/et_pb_wc_description][et_pb_wc_add_to_cart _builder_version=""4.16"" global_colors_info=""{}""][/et_pb_wc_add_to_cart][et_pb_wc_meta _builder_version=""4.16"" global_colors_info=""{}""][/et_pb_wc_meta][/et_pb_column][/et_pb_row][et_pb_row _builder_version=""4.16"" background_size=""initial"" background_position=""top_left"" background_repeat=""repeat"" width=""100%"" global_colors_info=""{}""][et_pb_column type=""4_4"" _builder_version=""4.16"" custom_padding=""|||"" global_colors_info=""{}"" custom_padding__hover=""|||""][et_pb_wc_tabs _builder_version=""4.16"" global_colors_info=""{}""]					[/et_pb_wc_tabs][et_pb_wc_upsells _builder_version=""4.16"" global_colors_info=""{}""][/et_pb_wc_upsells][et_pb_wc_related_products _builder_version=""4.16"" global_colors_info=""{}""][/et_pb_wc_related_products][/et_pb_column][/et_pb_row][/et_pb_section]",,,taxable,,1,,,0,0,,,,,0,,,,"Boutique en Ligne, Matelas",,,"https://inayya.re/wp-content/uploads/2022/01/inayya_matelasseul_1500x900.jpg, https://inayya.re/wp-content/uploads/2022/01/D3X6764_1500x900.jpg, https://inayya.re/wp-content/uploads/2022/01/inayya_packfirst_1500x900.jpg, https://inayya.re/wp-content/uploads/2022/01/inayya_matelasseulcomplet_1500x900.jpg, https://inayya.re/wp-content/uploads/2022/01/NAR_8848_1500x900.jpg, https://inayya.re/wp-content/uploads/2022/01/D3X6794_1500x900.jpg",,,,,,"id:43, id:44",,,0,,Dimension,"90x190cm, 120x190cm, 140x190cm, 160x200cm, 180x200cm, 200x200cm",1,0,,,,
43,simple,,,Oreiller,1,0,visible,"<p style=""font-size: 17px; color: #000000;"">Offrez-vous des nuits de <strong>sommeil réparateur</strong> avec notre <strong>oreiller ergonomique de qualité supérieure</strong>. Conçu pour offrir un confort inégalé et un soutien ergonomique, cet oreiller garantit <strong>un sommeil profond et revitalisant</strong>. Commandez dès maintenant!</p>","<h1 style=""color: red; font-size: 25px;""><strong>Oreiller Confortable et Ergonomique</strong></h1>\n<h2 style=""color: #000000; font-size: 20px;""><strong>Un Oreiller pour Chaque Style de Sommeil</strong></h2>\n<h3 style=""color: #000000; font-size: 19px;""><strong>Oreiller Mousse à Mémoire de Forme : Soutien Optimal</strong></h3>\n<p style=""font-size: 17px; color: #000000;"">Si vous cherchez un soutien personnalisé, <strong>notre oreiller en mousse à mémoire de forme</strong> est la solution idéale. Grâce à sa technologie avancée, il épouse parfaitement les contours de votre tête et de votre cou, offrant un soutien inégalé pour <strong>une nuit de sommeil réparatrice</strong>. Que vous dormiez sur le dos, le côté ou le ventre, <strong>cet oreiller vous garantit un alignement optimal</strong> de la colonne vertébrale et une réduction des points de pression.</p>\n<p style=""color: #000000; font-size: 18px;"">. <strong>Nos oreillers sont parfaits</strong> pour ceux qui préfèrent un oreiller plus moelleux et adaptable. En choisissant cet oreiller, vous optez pour <strong>une nuit de sommeil légère et aérienne</strong>, enveloppée dans une douceur incomparable.</p>\n\n<h3 style=""color: #000000; font-size: 19px;""><strong>Oreiller Hypoallergénique : Propreté et Sécurité</strong></h3>\n<p style=""font-size: 17px; color: #000000;"">Pour les personnes sensibles aux allergies, notre <strong>oreiller hypoallergénique</strong> est le choix parfait. <a href=""https://fr.wiktionary.org/wiki/antiallergique#:~:text=Qui%20ne%20provoque%20pas%20d,Notre%20linge%20est%20antiallergique."">Fabriqué à partir de matériaux anti-allergènes</a>, il empêche l'accumulation de poussière, d'acariens et autres allergènes courants. Cet<strong> oreiller offre non seulement un sommeil confortable</strong> mais aussi une tranquillité d'esprit, sachant que vous dormez dans un environnement propre et sain.</p>\n<p style=""font-size: 17px; color: #000000;""><strong>Oreiller pour votre lit</strong>, concilie le confort unique de la <strong>mousse à mémoire de forme</strong> <strong>Memory</strong> Effect et les propriétés bénéfiques de l’Aloe Vera, naturellement relaxante et régénérante. L’oreiller épouse parfaitement les formes de la tête et de la nuque pour apporter plus de confort et réduire les maux de dos et les douleurs cervicales pour <strong>améliorer la qualité de votre sommeil</strong>.</p>\n\n<ul style=""font-size: 17px; color: #000000;"">\n 	<li style=""font-size: 17px; color: #000000;"">Dermato logiquement testé</li>\n 	<li style=""font-size: 17px; color: #000000;"">Respirant, indéformable, hypoallergénique et anti-acarien</li>\n 	<li style=""font-size: 17px; color: #000000;"">Housse de protection en pur coton</li>\n 	<li style=""font-size: 17px; color: #000000;"">Dimension : 62x36x13.5cm</li>\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,79,"Boutique en Ligne, Oreillers",,,"https://inayya.re/wp-content/uploads/2022/01/inayya_oreillers_2_1500x900.jpg, https://inayya.re/wp-content/uploads/2022/01/inayya_oreillers_1500x900.jpg",,,,,,"id:42, id:44",,,0,,,,,,,,,
44,variable,,,"Sommier Tissu 3D",1,0,visible,"Le sommier Tapissier tissu 3D pour un confort meilleur et solidité durable.","Notre sommier tapissier allie confort et solidité, spécialement conçu et « tropicalisé » pour le climat réunionnais et entièrement aéré grâce au tissu Air Flow. La norme PEFC garantit la gestion durable des forets. Sommier tapissier 360° tropicalisé, sa structure en bois d’épicéa 450 kg/m 3 lui garantit solidité et durabilité.",,,taxable,,1,,,0,0,,,,,0,,,,"Boutique en Ligne, Sommiers",,,https://inayya.re/wp-content/uploads/2022/01/airflow-photo.jpg,,,,,,,,,0,,Dimension,"90x190cm, 120x190cm, 140x190cm, 160x200cm, 160x200cm (2 sommiers de 80x200cm), 180x200cm, 180x200cm (2 sommiers de 90x200cm), 200x200cm (2 sommiers de 100x200cm)",1,0,Couleur,"Gris, Bleu, Blanc",0,0
45,variation,,,"Matelas Inayya First - 90x190cm",0,0,visible,,,,,taxable,,1,3,,0,0,,90,190,,0,,448,560,,,,,,,id:42,,,"id:43, id:44",,,1,,Dimension,90x190cm,,0,,,,
46,variation,,,"Matelas Inayya First - 120x190cm",1,0,visible,,,,,taxable,,1,4,,0,0,,120,190,,0,,"495,20",619,,,,,,,id:42,,,"id:43, id:44",,,3,,Dimension,120x190cm,,0,,,,
47,variation,,,"Matelas Inayya First - 140x190cm",1,0,visible,,,,,taxable,,1,16,,0,0,,140,190,,0,,"719,20",899,,,,,,,id:42,,,"id:43, id:44",,,2,,Dimension,140x190cm,,0,,,,
48,variation,,,"Matelas Inayya First - 160x200cm",1,0,visible,,,,,taxable,,0,,,0,0,,160,200,,0,,"799,20",999,,,,,,,id:42,,,"id:43, id:44",,,3,,Dimension,160x200cm,,0,,,,
49,variation,,,"Matelas Inayya First - 180x200cm",0,0,visible,,,,,taxable,,1,65,,0,0,,180,200,,0,,"919,20",1149,,,,,,,id:42,,,"id:43, id:44",,,4,,Dimension,180x200cm,,0,,,,
50,variation,,,"Matelas Inayya First - 200x200cm",1,0,visible,,,,,taxable,,0,,,0,0,,200,200,,0,,"1039,20",1299,,,,,,,id:42,,,"id:43, id:44",,,5,,Dimension,200x200cm,,0,,,,
51,variation,,,"Sommier Tissu 3D - 90x190cm",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,299,,,,,,,id:44,,,,,,1,,Dimension,90x190cm,,0,,,,
52,variation,,,"Sommier Tissu 3D - 120x190cm",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,349,,,,,,,id:44,,,,,,2,,Dimension,120x190cm,,0,,,,
53,variation,,,"Sommier Tissu 3D - 140x190cm",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,449,,,,,,,id:44,,,,,,3,,Dimension,140x190cm,,0,,,,
54,variation,,,"Sommier Tissu 3D - 160x200cm",1,0,visible,,,,,taxable,,0,,,0,0,,,,,0,,,549,,,,,,,id:44,,,,,,4,,Dimension,160x200cm,,0,,,,
55,variation,,,"Sommier Tissu 3D - 180x200cm (2 sommiers de 90x200cm)",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,849,,,,,,,id:44,,,,,,5,,Dimension,"180x200cm (2 sommiers de 90x200cm)",,0,,,,
56,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
57,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
58,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
59,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
60,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
61,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
62,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
63,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
64,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
65,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
66,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
67,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
68,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
69,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
70,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
71,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
81,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
82,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
83,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
84,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
85,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
86,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
87,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
88,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
89,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
90,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
91,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
92,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
93,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
94,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
95,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
96,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
97,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
98,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
99,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
100,variation,,,Oreiller,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:43,,,"id:42, id:44",,,0,,,,,,,,,
101,variation,,,"Sommier Tissu 3D - 200x200cm (2 sommiers de 100x200cm)",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,990,,,,,,,id:44,,,,,,6,,Dimension,"200x200cm (2 sommiers de 100x200cm)",,0,,,,
